loan_id,client_id,issue_date,age,gender,monthly_income,employment_type,work_experience_years,region,channel,loan_product,loan_amount,loan_term_months,interest_rate,monthly_payment,credit_score,existing_loans_count,dti_ratio,days_past_due,is_default
48,74969,2023-10-20,20,F,75077.0,freelance,1.7,SPb,online,education,210000,48,16.9,6049.0,650.0,3,49.1,9,0
49,44001,2023-07-14,33,F,52799.0,employed,12.3,South,online,consumer,170000,36,20.0,6318.0,624.0,1,40.3,16,0
50,77552,2023-08-16,35,M,58478.0,freelance,11.0,Ural,online,consumer,220000,24,20.1,11208.0,673.0,5,54.2,28,0
51,24897,2024-03-06,34,M,78481.0,employed,15.8,Ural,online,car,910000,60,15.5,21888.0,626.0,5,84.6,9,0
52,69148,2024-03-11,27,F,99626.0,employed,6.0,SPb,branch,car,800000,12,14.2,71905.0,647.0,0,60.2,125,1
53,24483,2024-04-05,25,F,67739.0,employed,4.9,South,online,renovation,440000,60,16.4,10794.0,659.0,0,45.0,0,0
54,49555,2024-09-09,31,M,116658.0,employed,11.8,SPb,branch,renovation,660000,48,17.1,19078.0,647.0,0,63.4,0,0
55,18159,2023-01-21,60,F,114131.0,self_employed,13.9,South,online,education,360000,60,16.2,8793.0,625.0,1,40.3,4,0
56,81077,2023-03-05,60,F,84264.0,employed,38.6,SPb,online,renovation,630000,36,16.6,22336.0,654.0,2,62.1,12,0
57,36920,2023-06-14,49,M,120774.0,self_employed,29.9,South,online,consumer,380000,60,19.3,9920.0,724.0,1,45.4,8,0
58,93067,2023-01-27,32,F,80501.0,self_employed,12.8,Ural,online,consumer,240000,24,19.8,12192.0,660.0,4,74.1,212,1
59,68121,2023-11-07,28,M,66189.0,self_employed,6.2,Siberia,partner,car,820000,48,16.8,23576.0,589.0,1,81.8,162,1
60,70479,2023-10-12,31,F,56533.0,freelance,4.3,Moscow,online,car,460000,60,15.8,11137.0,675.0,2,65.3,0,0
61,90475,2024-10-21,28,F,92490.0,employed,13.0,Moscow,branch,consumer,250000,48,17.2,7240.0,761.0,2,37.9,4,0
62,20457,2023-10-08,48,F,77586.0,self_employed,25.9,Siberia,online,consumer,280000,36,19.1,10278.0,658.0,1,45.9,9,0
63,67557,2023-06-13,35,M,18076.0,unemployed,0.2,SPb,online,consumer,60000,24,23.5,3157.0,485.0,2,69.1,198,1
64,78189,2023-08-12,41,M,87811.0,self_employed,22.7,Siberia,branch,car,560000,60,15.8,13559.0,652.0,0,75.7,26,0
65,79953,2023-05-26,30,M,111152.0,self_employed,9.7,South,online,consumer,490000,12,20.0,45391.0,615.0,1,55.7,8,0
66,53995,2023-01-30,30,F,110002.0,self_employed,12.0,Moscow,online,car,930000,36,15.1,32284.0,669.0,1,81.3,1,0
67,41757,2023-02-14,32,F,99165.0,employed,8.8,SPb,partner,car,570000,60,15.4,13680.0,608.0,0,59.4,7,0
68,10692,2024-04-15,49,M,52169.0,self_employed,30.0,Moscow,online,consumer,240000,36,17.2,8581.0,795.0,0,36.0,4,0
69,46758,2023-02-03,19,F,22690.0,unemployed,0.1,Moscow,branch,car,350000,60,17.9,8869.0,510.0,2,74.1,163,1
70,73409,2024-10-14,39,F,73559.0,employed,17.5,Ural,online,consumer,180000,48,16.5,5147.0,723.0,0,22.8,0,0
71,72211,2024-03-02,32,M,64375.0,freelance,9.3,Moscow,branch,consumer,210000,12,20.0,19453.0,617.0,0,46.8,42,0
72,66697,2023-08-09,39,M,91852.0,employed,19.5,SPb,branch,car,540000,60,14.3,12649.0,698.0,0,51.1,0,0
73,38065,2024-06-17,64,F,51687.0,employed,42.7,South,partner,consumer,130000,36,17.5,4667.0,752.0,5,36.5,160,1
74,93093,2024-11-22,49,M,115429.0,freelance,21.6,SPb,online,consumer,330000,12,18.4,30317.0,693.0,1,55.8,0,0
75,33606,2024-01-02,27,F,61009.0,freelance,2.5,South,online,consumer,160000,24,20.7,8198.0,566.0,0,52.7,151,1
76,12534,2024-07-03,49,M,67272.0,freelance,27.4,SPb,partner,consumer,220000,24,18.9,11079.0,701.0,4,49.6,0,0
77,95663,2024-08-04,49,F,43640.0,unemployed,0.4,Moscow,online,consumer,170000,12,20.9,15821.0,548.0,2,62.4,114,1
78,41397,2023-04-26,47,M,110587.0,employed,22.7,SPb,branch,consumer,230000,36,18.7,8396.0,641.0,2,50.2,34,0
79,92387,2023-08-27,20,M,94319.0,self_employed,0.0,Moscow,partner,consumer,330000,6,18.5,58006.0,742.0,3,53.9,0,0
80,2016,2023-12-01,27,M,89251.0,employed,13.0,Ural,online,car,740000,36,14.8,25580.0,695.0,1,81.6,21,0
81,90789,2024-03-16,34,M,98976.0,employed,10.9,Ural,online,renovation,360000,12,18.3,33056.0,633.0,1,52.1,0,0
82,56591,2023-05-28,34,M,98485.0,employed,13.9,Ural,partner,car,760000,36,14.8,26271.0,737.0,5,72.0,14,0
83,90812,2023-01-09,40,M,66435.0,self_employed,19.9,SPb,online,car,500000,36,16.0,17579.0,601.0,2,52.9,13,0
84,24247,2023-10-15,37,F,73965.0,employed,19.0,Ural,branch,consumer,350000,12,19.2,32288.0,634.0,2,51.9,0,0
85,25300,2024-01-23,41,F,77931.0,freelance,22.9,Moscow,online,consumer,220000,12,19.0,20274.0,673.0,0,41.0,0,0
86,75065,2023-02-19,50,M,89289.0,self_employed,27.9,Ural,branch,car,760000,60,17.3,19011.0,476.0,0,81.2,199,1
87,83798,2024-05-31,46,F,120877.0,employed,25.6,Moscow,partner,consumer,460000,36,17.9,16607.0,704.0,1,57.2,17,0
88,10268,2024-09-29,41,M,60497.0,self_employed,18.7,SPb,partner,car,480000,36,13.4,16266.0,753.0,2,56.0,22,0
89,87807,2024-08-09,35,F,71774.0,employed,8.0,Ural,online,car,570000,36,15.2,19815.0,580.0,2,68.2,177,1
90,13185,2024-11-07,28,F,58180.0,employed,8.2,South,branch,consumer,160000,12,17.5,14631.0,652.0,2,35.6,43,0
91,64704,2023-10-05,43,M,79603.0,freelance,24.7,Siberia,online,car,750000,36,15.9,26331.0,623.0,2,78.7,3,0
92,87779,2023-10-27,50,F,112072.0,employed,29.0,Ural,online,consumer,340000,36,20.7,12757.0,538.0,0,59.7,9,0
93,40099,2024-08-11,22,F,48526.0,freelance,3.7,South,branch,renovation,290000,60,18.7,7475.0,588.0,3,62.1,6,0
94,9571,2024-10-10,20,M,45656.0,self_employed,0.0,Ural,branch,consumer,160000,12,19.8,14806.0,541.0,2,47.1,3,0
95,39044,2024-09-09,45,F,77238.0,self_employed,24.7,Ural,branch,consumer,250000,12,18.7,23003.0,623.0,1,40.8,8,0
96,52214,2024-08-29,20,F,52433.0,freelance,0.0,Siberia,online,renovation,310000,36,20.0,11521.0,465.0,1,67.4,114,1
97,62228,2023-05-15,19,M,68814.0,employed,0.0,South,online,car,730000,60,16.1,17791.0,615.0,2,80.1,5,0
98,49984,2024-08-02,26,F,73934.0,employed,7.5,Ural,partner,consumer,210000,12,17.8,19233.0,699.0,5,50.9,9,0
99,41774,2023-05-27,28,F,90344.0,employed,9.2,South,branch,car,560000,12,14.8,50492.0,697.0,2,54.7,9,0
100,3568,2024-05-04,24,M,96351.0,employed,2.5,Moscow,branch,consumer,360000,36,19.8,13342.0,612.0,3,62.5,12,0
101,63592,2024-04-22,28,M,55993.0,employed,8.0,South,branch,consumer,180000,36,18.6,6562.0,654.0,0,38.7,14,0
102,68563,2023-06-08,31,M,28115.0,unemployed,2.0,Moscow,partner,renovation,180000,12,20.8,16743.0,485.0,1,73.4,156,1
103,3695,2024-01-19,45,F,124071.0,employed,25.8,Ural,online,car,1060000,36,16.3,37424.0,613.0,2,84.5,0,0
104,49190,2023-06-12,50,F,78132.0,self_employed,26.6,Siberia,partner,consumer,200000,24,20.3,10208.0,596.0,0,49.7,0,0
105,6258,2024-03-16,50,M,69436.0,employed,9.5,Siberia,partner,education,210000,36,15.1,7290.0,684.0,0,38.5,36,0
106,88538,2023-07-08,43,F,108767.0,employed,23.9,Moscow,branch,consumer,480000,36,18.7,17522.0,681.0,0,43.0,6,0
107,40504,2024-02-19,32,F,78367.0,employed,10.2,South,branch,consumer,280000,36,18.8,10235.0,664.0,3,46.5,16,0
108,34159,2023-12-05,34,F,74256.0,self_employed,15.4,Moscow,branch,consumer,200000,24,18.6,10043.0,724.0,2,40.0,0,0
109,14986,2024-08-29,29,M,68172.0,employed,6.9,Moscow,branch,consumer,200000,36,18.5,7281.0,633.0,1,42.9,11,0
110,62858,2023-06-30,34,M,95735.0,employed,14.3,Siberia,online,consumer,260000,24,20.5,13297.0,592.0,2,56.0,26,0
111,13666,2023-10-15,24,F,89624.0,self_employed,3.2,Siberia,online,car,710000,12,16.6,64621.0,620.0,1,64.5,0,0
112,39660,2023-07-06,47,M,75280.0,freelance,28.2,Siberia,partner,car,570000,60,17.1,14197.0,578.0,4,82.2,4,0
113,4561,2023-05-18,25,F,63882.0,employed,1.3,South,branch,renovation,450000,36,19.5,16609.0,527.0,1,60.5,169,1
114,27854,2023-05-10,49,F,139608.0,freelance,30.4,Moscow,branch,car,1500000,60,16.9,37198.0,592.0,0,84.8,187,1
115,65505,2023-07-13,55,M,112051.0,self_employed,29.1,Moscow,online,car,940000,48,15.8,26544.0,632.0,0,78.0,9,0
116,53251,2023-11-12,47,F,90148.0,self_employed,28.8,South,branch,consumer,340000,60,19.3,8876.0,649.0,1,60.7,221,1
117,23662,2023-05-24,33,M,104980.0,employed,14.0,Ural,online,renovation,700000,24,16.2,34341.0,772.0,1,52.5,0,0
118,9392,2023-01-16,43,M,79531.0,employed,22.5,South,branch,consumer,200000,60,19.9,5288.0,607.0,4,55.9,8,0
119,31535,2023-10-29,47,M,60436.0,employed,23.1,South,branch,education,130000,36,15.5,4538.0,705.0,3,35.5,5,0
120,79603,2024-02-27,39,M,30855.0,unemployed,0.0,Ural,partner,consumer,100000,24,21.0,5139.0,620.0,1,53.5,5,0
121,53256,2023-09-02,55,M,65639.0,employed,36.3,Ural,online,consumer,190000,12,19.4,17546.0,637.0,0,38.9,0,0
122,90135,2023-04-17,21,F,20046.0,unemployed,0.2,SPb,branch,consumer,50000,12,22.3,4687.0,449.0,0,54.0,141,1
123,36222,2023-03-29,55,F,164888.0,employed,34.3,Moscow,online,car,1430000,60,15.0,34020.0,700.0,0,84.7,38,0
124,78373,2023-05-09,40,M,99475.0,employed,21.2,Ural,branch,education,370000,24,16.3,18169.0,614.0,1,48.4,12,0
125,80575,2023-12-07,31,F,76954.0,employed,10.5,Siberia,branch,consumer,370000,60,19.8,9762.0,626.0,3,48.4,30,0
126,97354,2023-01-04,27,M,50461.0,employed,13.0,Ural,online,car,420000,48,14.6,11604.0,672.0,3,68.6,10,0
127,85651,2023-11-23,35,M,23177.0,unemployed,0.1,Moscow,online,consumer,70000,48,22.5,2224.0,524.0,5,65.4,14,0
128,64335,2024-02-14,49,F,61099.0,freelance,27.1,Moscow,branch,car,550000,48,17.1,15899.0,593.0,1,72.9,17,0
129,11965,2023-11-02,41,F,142480.0,self_employed,16.2,Moscow,branch,car,1310000,60,16.3,32066.0,603.0,4,84.8,182,1
130,25538,2024-08-29,34,F,67082.0,self_employed,10.8,Ural,online,renovation,710000,36,17.7,25561.0,618.0,2,70.1,0,0
131,71592,2024-12-21,39,M,46251.0,self_employed,18.2,Ural,branch,renovation,320000,36,14.3,10984.0,803.0,1,31.7,2,0
132,99018,2023-08-13,63,F,38767.0,unemployed,0.6,SPb,partner,consumer,230000,24,22.1,11943.0,534.0,0,71.8,169,1
133,9110,2023-12-14,23,F,92159.0,employed,13.0,Ural,branch,education,250000,24,16.4,12289.0,605.0,3,62.2,4,0
134,80309,2023-11-17,21,F,72314.0,freelance,0.0,Moscow,branch,car,720000,48,16.9,20738.0,566.0,3,80.8,192,1
135,28266,2024-07-12,47,M,90219.0,self_employed,27.9,Siberia,partner,education,390000,36,16.0,13711.0,678.0,3,64.0,11,0
136,53992,2023-06-30,24,F,22221.0,unemployed,0.8,SPb,online,consumer,80000,24,22.0,4150.0,532.0,4,63.5,90,1
137,83948,2024-09-09,30,F,73810.0,freelance,7.6,Ural,branch,education,160000,48,16.9,4609.0,596.0,3,60.1,122,1
138,99806,2024-12-11,49,F,35952.0,unemployed,1.9,SPb,online,consumer,170000,36,21.3,6431.0,501.0,0,58.6,4,0
139,7910,2024-01-21,35,M,122905.0,self_employed,9.3,Moscow,branch,renovation,920000,36,17.4,32984.0,651.0,2,83.3,17,0
140,91982,2024-09-09,28,M,101001.0,employed,8.1,Moscow,online,education,320000,36,12.7,10736.0,814.0,1,29.0,0,0
141,1206,2023-04-18,35,M,82837.0,employed,14.7,South,branch,education,220000,36,15.4,7670.0,697.0,4,32.8,31,0
142,88054,2024-06-14,36,M,108888.0,self_employed,17.9,Moscow,partner,car,1010000,48,15.4,28314.0,629.0,2,84.2,0,0
143,88897,2024-02-14,40,M,61058.0,freelance,15.1,Moscow,online,consumer,190000,24,19.8,9652.0,659.0,3,49.8,31,0
144,24419,2023-10-23,33,M,76322.0,employed,14.1,Moscow,online,car,590000,60,14.8,13974.0,669.0,0,62.7,16,0
145,51636,2023-06-20,26,F,89629.0,employed,0.0,South,online,renovation,520000,36,17.6,18695.0,652.0,1,50.8,18,0
146,51015,2023-11-27,40,M,105388.0,employed,21.3,SPb,branch,car,990000,24,15.0,48002.0,685.0,1,66.5,11,0
147,55268,2024-05-07,38,M,89280.0,freelance,19.1,SPb,partner,renovation,570000,36,19.2,20952.0,561.0,1,76.2,0,0
148,88939,2023-07-14,35,M,106541.0,employed,15.0,SPb,branch,consumer,300000,48,18.1,8828.0,707.0,2,43.7,1,0
149,19141,2023-01-12,25,M,64415.0,self_employed,3.8,South,branch,car,530000,60,15.5,12748.0,626.0,0,62.0,21,0
150,81356,2023-07-14,36,F,74554.0,employed,16.3,South,online,car,660000,60,13.5,15186.0,729.0,0,58.2,23,0
151,72910,2024-05-04,56,F,71921.0,employed,36.7,SPb,partner,consumer,240000,12,19.6,22186.0,572.0,3,55.2,18,0
152,57044,2023-07-01,20,F,19340.0,unemployed,0.1,Siberia,branch,consumer,70000,24,22.7,3656.0,476.0,3,77.9,237,1
153,68214,2024-10-17,65,M,91407.0,employed,37.5,Moscow,partner,car,670000,36,13.8,22834.0,736.0,2,71.6,160,1
154,34827,2023-11-12,45,F,72835.0,employed,17.2,SPb,online,consumer,250000,36,19.7,9253.0,603.0,0,40.8,3,0
155,56820,2024-11-24,19,M,68339.0,employed,0.0,Ural,partner,renovation,470000,48,16.9,13538.0,630.0,2,56.1,160,1
156,63623,2023-01-30,37,F,82189.0,employed,15.6,Moscow,online,education,150000,48,14.1,4106.0,704.0,0,24.1,0,0
157,82734,2024-08-18,64,M,107289.0,self_employed,42.2,Moscow,branch,consumer,230000,24,16.8,11350.0,754.0,1,29.2,13,0
158,76450,2024-11-08,31,F,72826.0,employed,9.8,South,partner,renovation,380000,48,16.7,10906.0,670.0,3,65.4,1,0
159,94426,2023-04-06,64,F,109065.0,self_employed,45.0,Moscow,branch,car,1060000,60,13.9,24609.0,753.0,0,82.0,12,0
160,23299,2024-01-16,41,M,77886.0,employed,20.7,Moscow,online,consumer,190000,48,19.5,5731.0,566.0,2,55.1,8,0
161,44585,2024-03-19,24,M,43923.0,freelance,1.7,Siberia,partner,car,490000,36,18.5,17838.0,486.0,2,82.6,155,1
162,65044,2023-10-25,22,F,59824.0,freelance,3.3,Moscow,partner,renovation,390000,36,19.2,14335.0,599.0,1,62.5,0,0
163,43557,2023-12-27,63,M,32647.0,unemployed,0.9,SPb,online,education,180000,36,18.9,6589.0,511.0,0,61.8,244,1
164,50080,2024-01-09,27,M,26499.0,unemployed,0.1,Moscow,branch,car,350000,36,20.1,13025.0,330.0,0,84.8,187,1
165,3693,2024-07-07,58,M,105400.0,employed,33.5,Moscow,online,renovation,470000,48,16.0,13320.0,738.0,3,55.9,8,0
166,96003,2023-10-30,26,M,62235.0,employed,2.1,SPb,online,car,530000,60,14.9,12581.0,663.0,0,66.3,187,1
167,96259,2024-02-25,25,F,100261.0,self_employed,6.4,SPb,partner,car,1010000,60,14.8,23922.0,675.0,4,83.0,0,0
168,70163,2023-09-03,48,M,47655.0,employed,25.7,Ural,branch,consumer,150000,36,18.8,5483.0,684.0,0,40.1,9,0
169,26939,2024-12-20,19,M,46505.0,employed,0.0,South,online,consumer,160000,12,18.4,14699.0,631.0,2,44.4,27,0
170,49925,2023-08-25,35,F,139360.0,employed,13.5,SPb,branch,consumer,360000,36,19.4,13269.0,640.0,2,51.6,172,1
171,43941,2024-06-17,46,F,97665.0,employed,26.0,Ural,online,car,670000,60,14.6,15799.0,640.0,1,63.9,129,1
172,22834,2023-07-04,24,M,99570.0,self_employed,4.1,Moscow,branch,consumer,410000,60,19.3,10703.0,657.0,3,57.5,7,0
173,19047,2024-04-12,32,F,116045.0,employed,7.6,South,branch,car,840000,36,14.6,28955.0,639.0,0,70.7,18,0
174,27105,2023-12-29,24,M,65413.0,employed,3.0,Siberia,partner,consumer,180000,24,20.5,9205.0,595.0,2,66.4,8,0
175,76766,2023-10-10,30,M,95700.0,self_employed,11.2,Ural,online,renovation,390000,60,18.1,9925.0,638.0,2,57.0,2,0
176,16707,2024-07-06,34,F,59929.0,employed,15.6,Moscow,online,car,500000,12,14.3,44964.0,664.0,3,62.6,19,0
177,22976,2023-12-02,33,F,33521.0,unemployed,1.1,SPb,partner,car,350000,36,17.9,12636.0,555.0,3,59.4,188,1
178,45262,2023-06-11,26,M,97802.0,employed,7.5,Moscow,branch,car,440000,12,16.1,39942.0,535.0,1,65.6,112,1
179,24776,2023-06-09,20,M,47087.0,self_employed,0.0,South,branch,education,150000,24,15.8,7330.0,642.0,2,41.2,14,0
180,31080,2024-04-18,34,M,129153.0,employed,13.9,SPb,branch,education,350000,12,15.6,31690.0,702.0,2,66.4,12,0
181,67842,2024-08-23,27,M,103542.0,employed,8.5,SPb,online,renovation,590000,24,15.6,28776.0,729.0,2,53.7,13,0
182,62373,2023-11-18,41,M,112542.0,employed,18.5,Moscow,online,consumer,470000,24,17.8,23419.0,756.0,0,37.6,24,0
183,7776,2023-01-12,56,M,121619.0,employed,31.0,Moscow,online,consumer,320000,48,17.3,9283.0,759.0,4,39.6,12,0
184,93787,2024-02-28,31,F,73550.0,freelance,12.6,Siberia,online,consumer,220000,60,20.7,5915.0,553.0,0,61.0,32,0
185,56016,2023-03-14,29,F,46984.0,self_employed,10.8,Ural,online,renovation,340000,24,20.1,17321.0,492.0,1,59.9,99,1
186,10474,2024-08-10,36,M,91711.0,employed,12.3,SPb,partner,car,730000,24,14.8,35326.0,591.0,2,68.5,0,0
187,59053,2023-07-20,31,F,96374.0,employed,10.9,Moscow,online,renovation,670000,24,14.3,32264.0,838.0,0,36.1,6,0
188,22959,2024-06-05,37,M,114436.0,employed,15.6,Moscow,partner,consumer,400000,60,19.8,10553.0,565.0,0,55.8,129,1
189,6530,2024-05-19,47,M,110064.0,employed,27.3,Moscow,branch,consumer,270000,48,18.1,7945.0,658.0,3,44.5,9,0
190,95856,2024-11-18,26,M,61453.0,employed,6.4,South,branch,car,470000,36,13.5,15950.0,696.0,2,54.1,35,0
191,4748,2023-02-08,67,F,24816.0,unemployed,0.7,Siberia,online,consumer,80000,24,20.0,4072.0,644.0,0,50.6,180,1
192,98504,2023-03-01,54,M,97645.0,employed,33.5,South,online,consumer,320000,36,18.6,11665.0,673.0,3,55.3,28,0
193,99098,2024-07-31,57,F,110705.0,self_employed,38.5,SPb,online,consumer,420000,60,19.1,10918.0,641.0,0,51.5,32,0
194,14545,2023-11-17,23,F,38873.0,self_employed,1.2,South,online,renovation,230000,36,17.7,8280.0,626.0,2,57.1,90,1
195,67199,2024-03-10,39,M,88010.0,freelance,18.6,Moscow,branch,car,900000,48,16.1,25552.0,625.0,3,84.4,25,0
196,35766,2024-09-27,23,M,61186.0,employed,0.0,Ural,branch,consumer,210000,36,19.1,7708.0,563.0,2,46.6,7,0
197,74530,2024-11-06,40,F,67789.0,freelance,14.4,Moscow,online,consumer,200000,12,19.3,18460.0,587.0,0,45.9,22,0
198,94557,2024-02-12,31,F,59570.0,freelance,6.1,Siberia,partner,car,570000,48,18.0,16744.0,534.0,2,81.0,161,1
199,62087,2024-01-21,20,F,58408.0,employed,0.0,SPb,online,education,150000,36,15.4,5229.0,653.0,2,50.3,0,0
200,96839,2024-11-01,34,M,66873.0,employed,14.8,Ural,online,education,240000,36,13.0,8087.0,754.0,1,48.2,0,0
201,69840,2024-07-22,22,F,18000.0,unemployed,0.1,South,branch,consumer,90000,24,21.5,4647.0,494.0,1,54.4,19,0
202,55384,2023-03-19,37,M,87101.0,freelance,15.8,Siberia,online,consumer,240000,36,21.6,9116.0,533.0,2,70.8,229,1
203,52005,2023-07-13,26,F,55262.0,employed,4.3,South,online,car,460000,24,16.7,22677.0,543.0,0,55.0,18,0
204,47576,2023-10-12,42,F,95812.0,self_employed,23.5,SPb,branch,consumer,350000,24,19.6,17745.0,638.0,1,61.8,221,1
205,40353,2024-06-10,34,F,81995.0,employed,0.0,SPb,branch,consumer,280000,24,18.6,14060.0,640.0,1,37.2,13,0
206,63003,2024-06-07,42,M,127027.0,employed,23.7,Ural,online,car,950000,36,15.4,33118.0,594.0,0,72.6,4,0
